Year,Month,Day,Hour,Minute,Temperature,Dew Point,GHI,Wind Speed,Relative Humidity,region,EL
2012,1,1,1,30,1.9,-7.2,0,3.2,50.87,FAR_WEST,1289.746813
2012,1,1,2,30,1.1,-7.7,0,3.2,52.06,FAR_WEST,1294.272245
2012,1,1,3,30,0.4,-8.2,0,3.1,52.57,FAR_WEST,1296.491345
2012,1,1,4,30,-0.3,-8.6,0,2.9,53.74,FAR_WEST,1297.417294
2012,1,1,5,30,-1,-8.7,0,2.7,55.77,FAR_WEST,1309.534911
2012,1,1,6,30,-0.9,-8.8,0,2.8,55.03,FAR_WEST,1329.677512
2012,1,1,7,30,0.9,-8.8,51,3.8,48.22,FAR_WEST,1343.996843
2012,1,1,8,30,4.1,-9,239,5.2,37.98,FAR_WEST,1363.690327
2012,1,1,9,30,7,-10,420,5.6,28.58,FAR_WEST,1385.977171
2012,1,1,10,30,9.2,-10.7,556,5,23.33,FAR_WEST,1388.008066
2012,1,1,11,30,11,-10.6,631,4.3,20.81,FAR_WEST,1374.382489
2012,1,1,12,30,12.3,-10.3,643,3.7,19.65,FAR_WEST,1362.688806
2012,1,1,13,30,13,-9.9,586,3.3,19.32,FAR_WEST,1340.377883
2012,1,1,14,30,13.1,-9.6,467,3.1,19.72,FAR_WEST,1322.246525
2012,1,1,15,30,11.2,-9.1,298,2.3,23.09,FAR_WEST,1302.391474
2012,1,1,16,30,7.6,-6.3,105,1.6,36.62,FAR_WEST,1292.381268
2012,1,1,17,30,5.3,-7.7,0,1.8,38.68,FAR_WEST,1294.750789
2012,1,1,18,30,4.4,-8.1,0,2.1,39.68,FAR_WEST,1327.745834
2012,1,1,19,30,3.7,-8.5,0,2.4,40.62,FAR_WEST,1411.803542
2012,1,1,20,30,2.9,-8.8,0,2.6,41.97,FAR_WEST,1447.326254
2012,1,1,21,30,2,-9.1,0,2.7,43.68,FAR_WEST,1454.696743
2012,1,1,22,30,1.1,-9.3,0,2.7,45.65,FAR_WEST,1463.392556
2012,1,1,23,30,0.4,-9.5,0,2.6,47.28,FAR_WEST,1443.820152
2012,1,2,0,30,-0.3,-9.7,0,2.6,49.17,FAR_WEST,1420.44869
2012,1,2,1,30,-0.8,-9.8,0,2.6,50.38,FAR_WEST,1385.444568
2012,1,2,2,30,-1.2,-10,0,2.6,51.25,FAR_WEST,1384.392762
2012,1,2,3,30,-1.5,-10.2,0,2.7,51.69,FAR_WEST,1390.888819
2012,1,2,4,30,-1.8,-10.4,0,2.7,52.03,FAR_WEST,1400.261274
2012,1,2,5,30,-2.1,-10.6,0,2.8,52.36,FAR_WEST,1421.590109
2012,1,2,6,30,-1.8,-10.7,0,3,50.58,FAR_WEST,1468.389455
2012,1,2,7,30,0.1,-10.8,50,3.9,43.91,FAR_WEST,1518.998273
2012,1,2,8,30,3.3,-10.7,238,4.4,35.17,FAR_WEST,1552.292648
2012,1,2,9,30,6.9,-10.3,419,4.5,28.19,FAR_WEST,1549.701246
2012,1,2,10,30,9.8,-10.2,556,4.8,23.32,FAR_WEST,1527.459119
2012,1,2,11,30,11.5,-9.8,635,4.7,21.52,FAR_WEST,1500.789241
2012,1,2,12,30,12.5,-9.4,646,4.5,20.75,FAR_WEST,1470.89099
2012,1,2,13,30,13,-9.1,590,4.2,20.53,FAR_WEST,1442.345359
2012,1,2,14,30,12.9,-8.9,471,3.9,21.03,FAR_WEST,1412.855254
2012,1,2,15,30,10.9,-8.7,302,2.7,24.49,FAR_WEST,1388.048226
2012,1,2,16,30,7.3,-6.6,109,1.8,36.6,FAR_WEST,1370.491141
2012,1,2,17,30,4.9,-7.6,0,1.9,39.94,FAR_WEST,1367.80021
2012,1,2,18,30,4.1,-8,0,2.2,40.86,FAR_WEST,1400.150466
2012,1,2,19,30,3.3,-8.3,0,2.3,42.28,FAR_WEST,1482.370161
2012,1,2,20,30,2.5,-8.5,0,2.4,44.05,FAR_WEST,1508.024948
2012,1,2,21,30,1.7,-8.6,0,2.3,46.29,FAR_WEST,1520.30324
2012,1,2,22,30,0.9,-8.7,0,2.1,48.87,FAR_WEST,1513.694629
2012,1,2,23,30,0.1,-8.7,0,1.9,51.72,FAR_WEST,1473.407979
2012,1,3,0,30,-0.5,-8.7,0,1.7,53.96,FAR_WEST,1433.11677
2012,1,3,1,30,-0.9,-8.7,0,1.5,55.49,FAR_WEST,1416.865349
2012,1,3,2,30,-1.3,-8.7,0,1.4,57.13,FAR_WEST,1408.256449
2012,1,3,3,30,-1.5,-8.6,0,1.4,58.28,FAR_WEST,1415.941875
2012,1,3,4,30,-1.7,-8.6,0,1.3,59.3,FAR_WEST,1425.575977
2012,1,3,5,30,-1.7,-8.6,0,1.3,59.47,FAR_WEST,1422.078344
2012,1,3,6,30,-1.3,-8.5,0,1.2,57.95,FAR_WEST,1475.700688
2012,1,3,7,30,1,-8.3,50,1.5,49.99,FAR_WEST,1552.26484
2012,1,3,8,30,4.1,-7.8,239,1.6,41.48,FAR_WEST,1595.289764
2012,1,3,9,30,7.1,-7.4,421,1.2,34.81,FAR_WEST,1567.328307
2012,1,3,10,30,10.1,-6.1,558,1.5,31.41,FAR_WEST,1540.567353
2012,1,3,11,30,12.3,-5.1,636,2.1,29.36,FAR_WEST,1506.445315
2012,1,3,12,30,13.6,-4.6,653,2.5,27.96,FAR_WEST,1462.833283
2012,1,3,13,30,14.2,-4.5,597,2.7,27.03,FAR_WEST,1424.411735
2012,1,3,14,30,14.2,-4.7,478,2.5,26.68,FAR_WEST,1393.693515
2012,1,3,15,30,12.4,-4.8,308,1.7,29.83,FAR_WEST,1372.906825
2012,1,3,16,30,9.8,-3.4,111,1.2,39.41,FAR_WEST,1351.478621
2012,1,3,17,30,8.5,-5,0,1.2,38.13,FAR_WEST,1334.367388
2012,1,3,18,30,8.3,-5.3,0,1,37.72,FAR_WEST,1352.372434
2012,1,3,19,30,8.3,-5.5,0,0.8,37.24,FAR_WEST,1438.908266
2012,1,3,20,30,7.9,-5.5,0,0.9,38.23,FAR_WEST,1470.719471
2012,1,3,21,30,7.1,-5.5,0,1.1,40.44,FAR_WEST,1475.376461
2012,1,3,22,30,5.9,-5.3,0,1.3,44.4,FAR_WEST,1459.483941
2012,1,3,23,30,4.6,-5.2,0,1.4,48.91,FAR_WEST,1419.910892
2012,1,4,0,30,3.6,-5.3,0,1.4,52.34,FAR_WEST,1372.59825
2012,1,4,1,30,2.8,-5.3,0,1.5,55.4,FAR_WEST,1367.711628
2012,1,4,2,30,1.9,-5.3,0,1.6,58.98,FAR_WEST,1358.939171
2012,1,4,3,30,1.1,-5.4,0,1.9,62.07,FAR_WEST,1361.319486
2012,1,4,4,30,0.5,-5.7,0,2.2,63.39,FAR_WEST,1372.197219
2012,1,4,5,30,-0.1,-6.1,0,2.4,63.81,FAR_WEST,1386.094909
2012,1,4,6,30,0,-6.8,0,2.5,60.22,FAR_WEST,1440.503948
2012,1,4,7,30,2.6,-7.3,48,3.4,48.17,FAR_WEST,1515.297403
2012,1,4,8,30,6.5,-7.3,233,4.4,36.68,FAR_WEST,1554.36207
2012,1,4,9,30,10.4,-6.7,413,5.3,29.4,FAR_WEST,1521.96706
2012,1,4,10,30,13.8,-6.3,550,5.9,24.28,FAR_WEST,1490.154432
2012,1,4,11,30,15.7,-6.9,627,5.6,20.58,FAR_WEST,1474.474324
2012,1,4,12,30,16.6,-7.4,640,5.1,18.64,FAR_WEST,1450.713195
2012,1,4,13,30,16.7,-7.7,585,4.7,18.13,FAR_WEST,1412.541314
2012,1,4,14,30,16.3,-7.8,469,4.2,18.39,FAR_WEST,1390.173788
2012,1,4,15,30,13.9,-7.4,302,2.9,22.12,FAR_WEST,1372.035148
2012,1,4,16,30,10,-5,111,1.8,34.52,FAR_WEST,1354.497515
2012,1,4,17,30,7.5,-6.3,0,1.8,37.01,FAR_WEST,1361.229663
2012,1,4,18,30,6.4,-6.5,0,1.8,39.22,FAR_WEST,1372.531302
2012,1,4,19,30,5.5,-6.6,0,1.7,41.4,FAR_WEST,1442.145781
2012,1,4,20,30,4.7,-6.7,0,1.6,43.32,FAR_WEST,1463.04147
2012,1,4,21,30,4.2,-6.9,0,1.6,44.42,FAR_WEST,1466.52324
2012,1,4,22,30,3.7,-7,0,1.5,45.53,FAR_WEST,1459.399993
2012,1,4,23,30,3.2,-7.1,0,1.4,46.65,FAR_WEST,1427.3488
2012,1,5,0,30,2.9,-7.3,0,1.4,47.23,FAR_WEST,1394.50311
2012,1,5,1,30,2.7,-7.3,0,1.2,47.58,FAR_WEST,1372.944917
2012,1,5,2,30,2.5,-7.3,0,1,48.48,FAR_WEST,1369.158055
2012,1,5,3,30,2.2,-7.1,0,0.8,50.24,FAR_WEST,1375.154943
2012,1,5,4,30,1.8,-6.9,0,0.7,52.39,FAR_WEST,1390.708131
2012,1,5,5,30,1.3,-6.8,0,0.8,54.86,FAR_WEST,1417.92896
2012,1,5,6,30,1,-6.7,0,0.9,56.29,FAR_WEST,1473.212917
2012,1,5,7,30,2.5,-6.7,50,1,50.84,FAR_WEST,1552.776083
2012,1,5,8,30,5.2,-6.3,241,1,43.39,FAR_WEST,1589.204567
2012,1,5,9,30,8.3,-6.3,425,1.1,34.94,FAR_WEST,1553.416441
2012,1,5,10,30,11.8,-6.5,564,1.5,27.17,FAR_WEST,1506.91697
2012,1,5,11,30,14,-7.2,644,1.8,22.35,FAR_WEST,1468.649739
2012,1,5,12,30,14.9,-7.4,657,2.2,20.71,FAR_WEST,1439.511623
2012,1,5,13,30,15.2,-7.6,602,2.4,20.03,FAR_WEST,1393.709329
2012,1,5,14,30,15,-7.8,484,2.6,19.94,FAR_WEST,1377.741525
2012,1,5,15,30,13,-7.7,315,2,23.02,FAR_WEST,1357.682982
2012,1,5,16,30,9.8,-4.8,119,1.4,35.3,FAR_WEST,1348.288406
2012,1,5,17,30,8,-6.9,0,1.5,33.99,FAR_WEST,1345.824949
2012,1,5,18,30,7.2,-7.4,0,1.5,34.55,FAR_WEST,1353.797084
2012,1,5,19,30,6.5,-7.6,0,1.5,35.69,FAR_WEST,1417.500695
2012,1,5,20,30,5.7,-7.8,0,1.6,37.27,FAR_WEST,1436.986113
2012,1,5,21,30,4.9,-7.9,0,1.6,39,FAR_WEST,1444.977673
2012,1,5,22,30,3.9,-8,0,1.6,41.69,FAR_WEST,1433.675693
2012,1,5,23,30,2.9,-7.9,0,1.6,44.84,FAR_WEST,1406.105374
2012,1,6,0,30,2.1,-7.9,0,1.6,47.73,FAR_WEST,1370.69782
2012,1,6,1,30,1.5,-7.8,0,1.6,50.1,FAR_WEST,1345.091181
2012,1,6,2,30,1,-7.8,0,1.6,51.92,FAR_WEST,1337.949491
2012,1,6,3,30,0.5,-7.8,0,1.6,53.56,FAR_WEST,1340.613374
2012,1,6,4,30,0.1,-7.9,0,1.6,54.98,FAR_WEST,1353.2793
2012,1,6,5,30,-0.3,-7.9,0,1.6,56.46,FAR_WEST,1375.964797
2012,1,6,6,30,-0.1,-8,0,1.6,55.46,FAR_WEST,1421.710919
2012,1,6,7,30,2.5,-7.9,50,2.1,46.16,FAR_WEST,1499.195467
2012,1,6,8,30,6.2,-7.4,242,2.8,36.98,FAR_WEST,1546.166775
2012,1,6,9,30,9.5,-7.6,426,3.3,29.24,FAR_WEST,1506.374269
2012,1,6,10,30,12.7,-8.2,566,4.1,22.61,FAR_WEST,1473.153421
2012,1,6,11,30,15.2,-8.9,643,4.8,18.1,FAR_WEST,1442.717304
2012,1,6,12,30,16.9,-9.8,657,5.1,15.18,FAR_WEST,1411.930264
2012,1,6,13,30,17.6,-10.3,598,4.9,13.98,FAR_WEST,1377.120197
2012,1,6,14,30,17.3,-10.3,482,4,14.23,FAR_WEST,1367.486601
2012,1,6,15,30,15.1,-8.2,314,2.3,19.27,FAR_WEST,1353.830313
2012,1,6,16,30,12,-5.4,118,1.4,29.18,FAR_WEST,1343.644775
2012,1,6,17,30,10.6,-8,0,1.3,26.29,FAR_WEST,1333.151722
2012,1,6,18,30,10.1,-8.4,0,1.2,26.26,FAR_WEST,1322.180146
2012,1,6,19,30,9.5,-8.6,0,1.1,26.9,FAR_WEST,1366.964373
2012,1,6,20,30,8.8,-8.6,0,0.9,28.19,FAR_WEST,1375.368426
2012,1,6,21,30,8,-8.5,0,0.8,30.18,FAR_WEST,1364.110396
2012,1,6,22,30,6.8,-8.1,0,1,33.72,FAR_WEST,1357.58155
2012,1,6,23,30,5.2,-7.8,0,1.1,38.64,FAR_WEST,1345.980884
2012,1,7,0,30,3.6,-7.3,0,1.3,44.94,FAR_WEST,1322.70173
2012,1,7,1,30,2.6,-6.7,0,1.6,50.25,FAR_WEST,1303.69874
2012,1,7,2,30,1.9,-6.2,0,1.7,55.01,FAR_WEST,1296.110417
