Year,Month,Day,Hour,Minute,Temperature,GHI,Dew Point,Relative Humidity,Wind Speed,region,EL
2012,1,1,1,30,6.9,0,0.6,64.08,5.7,NORTH,652.153054
2012,1,1,2,30,5.9,0,0.7,69.04,5,NORTH,643.4835296
2012,1,1,3,30,5,0,0.7,73.87,4.2,NORTH,631.9409234
2012,1,1,4,30,4,0,0.7,79.18,3.4,NORTH,631.42852
2012,1,1,5,30,3.2,0,0.6,83.09,2.9,NORTH,640.8925631
2012,1,1,6,30,2.6,0,0.4,85.23,2.7,NORTH,662.2377749
2012,1,1,7,30,3.5,0,0.1,78.67,3.1,NORTH,686.6802429
2012,1,1,8,30,6,157,0.3,66.84,3.8,NORTH,713.0825309
2012,1,1,9,30,8.7,340,0.1,54.79,4.4,NORTH,732.2027931
2012,1,1,10,30,10.8,491,-0.5,45.68,4.6,NORTH,745.1120925
2012,1,1,11,30,12.2,588,-0.5,41.53,4.2,NORTH,730.9479205
2012,1,1,12,30,13.2,617,-0.5,39.02,4.1,NORTH,713.1850696
2012,1,1,13,30,13.7,585,-0.6,37.43,4.1,NORTH,699.0859839
2012,1,1,14,30,13.6,490,-0.7,37.31,4.1,NORTH,687.3115552
2012,1,1,15,30,12.5,341,-0.9,39.69,3.4,NORTH,672.2842126
2012,1,1,16,30,9.5,161,0.7,54.29,2.4,NORTH,658.6734471
2012,1,1,17,30,6.9,0,1.5,68.61,2.1,NORTH,664.8706538
2012,1,1,18,30,6,0,0.9,70.04,2.2,NORTH,714.9633567
2012,1,1,19,30,5.3,0,0.6,71.82,2.3,NORTH,774.9101031
2012,1,1,20,30,4.7,0,0.4,73.47,2.5,NORTH,783.7478716
2012,1,1,21,30,4.1,0,0,74.73,2.7,NORTH,791.8477778
2012,1,1,22,30,3.5,0,-0.4,75.84,2.8,NORTH,786.6283762
2012,1,1,23,30,2.9,0,-0.8,76.56,2.8,NORTH,765.2796843
2012,1,2,0,30,2.2,0,-1.3,77.58,2.8,NORTH,737.77632
2012,1,2,1,30,1.7,0,-1.8,77.65,2.7,NORTH,721.2234166
2012,1,2,2,30,1.2,0,-2.2,78.2,2.7,NORTH,720.4793903
2012,1,2,3,30,0.8,0,-2.4,79.15,2.8,NORTH,719.0505368
2012,1,2,4,30,0.4,0,-2.5,80.97,2.9,NORTH,729.5055029
2012,1,2,5,30,0,0,-2.5,83.25,2.7,NORTH,744.6230568
2012,1,2,6,30,-0.4,0,-2.6,85.18,2.6,NORTH,785.8261196
2012,1,2,7,30,0.6,0,-2.7,78.76,3.1,NORTH,833.6407487
