Year,Month,Day,Hour,Minute,Temperature,GHI,Relative Humidity,Wind Speed,Dew Point,region,EL
2012,1,1,1,30,8.4,0,60.75,5.4,1.3,NORTH_C,8648.989316
2012,1,1,2,30,6.9,0,62.5,4.9,0.2,NORTH_C,8553.212708
2012,1,1,3,30,5.8,0,67.57,4.1,0.3,NORTH_C,8461.317967
2012,1,1,4,30,4.9,0,73.27,3.5,0.5,NORTH_C,8438.693857
2012,1,1,5,30,4.1,0,78.45,3.1,0.7,NORTH_C,8565.433348
2012,1,1,6,30,3.6,0,81.39,3,0.7,NORTH_C,8880.412604
2012,1,1,7,30,4.4,0,76.33,3.5,0.6,NORTH_C,9360.457402
2012,1,1,8,30,6.9,166,64.4,4.2,0.6,NORTH_C,9763.555428
2012,1,1,9,30,9.8,353,51.52,4.8,0.3,NORTH_C,10033.06879
2012,1,1,10,30,11.9,507,42.32,5,-0.5,NORTH_C,10136.02288
2012,1,1,11,30,13.3,607,38.52,4.7,-0.5,NORTH_C,10026.32746
2012,1,1,12,30,14.3,643,36,4.6,-0.6,NORTH_C,9879.117595
2012,1,1,13,30,14.7,612,34.57,4.6,-0.8,NORTH_C,9714.901806
2012,1,1,14,30,14.6,516,34.03,4.6,-1.1,NORTH_C,9541.329021
2012,1,1,15,30,13.6,366,35.74,3.9,-1.3,NORTH_C,9320.712487
2012,1,1,16,30,10.7,179,46.74,2.7,-0.2,NORTH_C,9197.464171
2012,1,1,17,30,7.8,0,63.29,2.1,1.3,NORTH_C,9300.79008
2012,1,1,18,30,6.7,0,66.68,2.3,0.9,NORTH_C,10082.08118
2012,1,1,19,30,6,0,68.55,2.4,0.6,NORTH_C,11154.34207
2012,1,1,20,30,5.3,0,70.98,2.4,0.5,NORTH_C,11328.22845
2012,1,1,21,30,4.8,0,72.23,2.6,0.2,NORTH_C,11334.33007
2012,1,1,22,30,4.3,0,73.29,2.7,-0.1,NORTH_C,11305.30336
2012,1,1,23,30,3.7,0,74.96,2.9,-0.3,NORTH_C,10985.79924
2012,1,2,0,30,3.1,0,76.68,3,-0.6,NORTH_C,10523.9918
2012,1,2,1,30,2.5,0,78.23,2.9,-0.9,NORTH_C,10208.83537
2012,1,2,2,30,1.8,0,80.25,2.8,-1.2,NORTH_C,10132.81726
2012,1,2,3,30,1.3,0,81.11,2.6,-1.6,NORTH_C,10189.42562
2012,1,2,4,30,1,0,80.9,2.6,-1.9,NORTH_C,10389.67748
2012,1,2,5,30,0.7,0,80.81,2.7,-2.2,NORTH_C,10777.37729
2012,1,2,6,30,0.4,0,81.21,2.6,-2.4,NORTH_C,11494.27355
2012,1,2,7,30,1.3,0,75.53,3.1,-2.6,NORTH_C,12431.20153
2012,1,2,8,30,3.8,162,64.27,3.5,-2.3,NORTH_C,12985.79712
2012,1,2,9,30,7.1,349,53.15,4,-1.8,NORTH_C,12997.39981
2012,1,2,10,30,9.8,503,37.55,4.5,-4,NORTH_C,12844.31597
2012,1,2,11,30,11.1,608,34.21,4.3,-4.1,NORTH_C,12728.59004
2012,1,2,12,30,12,645,32.67,4.1,-3.9,NORTH_C,12320.61682
2012,1,2,13,30,12.5,614,31.62,3.8,-3.9,NORTH_C,11908.82503
2012,1,2,14,30,12.5,519,31.77,3.7,-3.9,NORTH_C,11440.60166
2012,1,2,15,30,11.6,366,33.75,3.1,-3.8,NORTH_C,11005.85768
2012,1,2,16,30,8.5,179,47.92,2,-1.9,NORTH_C,10804.51003
2012,1,2,17,30,5.5,0,67.27,1.5,-0.1,NORTH_C,10922.58632
2012,1,2,18,30,4.4,0,69.02,1.4,-0.8,NORTH_C,11937.28164
2012,1,2,19,30,4,0,68.66,1.3,-1.2,NORTH_C,13178.4881
2012,1,2,20,30,3.9,0,66.11,1.3,-1.9,NORTH_C,13449.02897
2012,1,2,21,30,4,0,62.18,1.2,-2.6,NORTH_C,13515.27207
2012,1,2,22,30,4.1,0,58.49,1.1,-3.3,NORTH_C,13356.98956
2012,1,2,23,30,4.3,0,54.51,0.8,-4.1,NORTH_C,12727.89575
2012,1,3,0,30,4,0,53.32,0.6,-4.6,NORTH_C,12110.2643
2012,1,3,1,30,3.1,0,55.93,0.7,-4.9,NORTH_C,11783.09844
2012,1,3,2,30,2.2,0,59.68,0.8,-4.8,NORTH_C,11783.92773
2012,1,3,3,30,1.5,0,62.61,0.9,-4.9,NORTH_C,11929.3759
2012,1,3,4,30,0.9,0,65.15,1,-4.9,NORTH_C,12228.02241
2012,1,3,5,30,0.3,0,67.94,1,-4.9,NORTH_C,12787.98619
2012,1,3,6,30,-0.2,0,70.48,1.1,-4.9,NORTH_C,13958.99275
2012,1,3,7,30,0.9,0,66.57,1.3,-4.6,NORTH_C,15677.67096
2012,1,3,8,30,3.6,161,63.45,1.9,-2.7,NORTH_C,16325.92873
2012,1,3,9,30,6.8,349,49.02,2.8,-3.2,NORTH_C,15495.79121
2012,1,3,10,30,10,503,36.9,3.6,-4.1,NORTH_C,14522.11305
2012,1,3,11,30,12.1,601,31.75,3.9,-4.2,NORTH_C,13768.97689
2012,1,3,12,30,13.4,639,31.17,4.2,-3.3,NORTH_C,13063.24781
2012,1,3,13,30,14.3,609,30.9,4.4,-2.7,NORTH_C,12488.48306
2012,1,3,14,30,14.4,515,31.7,4.6,-2.2,NORTH_C,11980.68395
2012,1,3,15,30,13.5,364,34.52,4.2,-1.9,NORTH_C,11544.48816
2012,1,3,16,30,11,178,44.31,3.3,-0.7,NORTH_C,11252.87855
2012,1,3,17,30,8.7,14,54.24,3.3,0,NORTH_C,11317.92363
2012,1,3,18,30,7.9,0,56.19,3.8,-0.3,NORTH_C,12167.33927
2012,1,3,19,30,7.1,0,59.16,3.9,-0.3,NORTH_C,13286.20192
2012,1,3,20,30,6.1,0,63.55,3.7,-0.3,NORTH_C,13389.05624
2012,1,3,21,30,5.2,0,68.35,3.6,-0.2,NORTH_C,13347.63916
2012,1,3,22,30,4.4,0,72.75,3.4,-0.1,NORTH_C,12969.32676
2012,1,3,23,30,3.7,0,77.1,3.1,0.1,NORTH_C,12081.30479
2012,1,4,0,30,3.2,0,80.66,2.9,0.2,NORTH_C,11192.6421
2012,1,4,1,30,2.8,0,84.27,2.8,0.4,NORTH_C,10853.34294
2012,1,4,2,30,2.4,0,88.51,2.5,0.7,NORTH_C,10650.90501
2012,1,4,3,30,2,0,93.08,2.1,1,NORTH_C,10604.03495
2012,1,4,4,30,1.7,0,96.78,1.7,1.2,NORTH_C,10792.37023
2012,1,4,5,30,1.6,0,98.8,1.5,1.4,NORTH_C,11248.69445
2012,1,4,6,30,1.7,0,98.38,1.3,1.5,NORTH_C,12298.90381
2012,1,4,7,30,3.1,0,88.9,1.5,1.4,NORTH_C,13955.30833
2012,1,4,8,30,5.6,120,76.08,1.8,1.7,NORTH_C,14573.84015
2012,1,4,9,30,8.5,238,63.36,1.7,1.9,NORTH_C,14017.86264
2012,1,4,10,30,11.5,389,51.5,1.7,1.8,NORTH_C,13480.2423
2012,1,4,11,30,13.9,498,43.6,1.7,1.7,NORTH_C,12907.99601
2012,1,4,12,30,15.7,492,39.64,1.7,2,NORTH_C,12321.61648
2012,1,4,13,30,16.6,509,38.75,1.6,2.5,NORTH_C,11859.54909
2012,1,4,14,30,16.5,434,40.22,1.3,2.9,NORTH_C,11468.99347
2012,1,4,15,30,15.3,355,47.94,1,4.3,NORTH_C,11087.6146
2012,1,4,16,30,12.5,111,73.01,1,7.8,NORTH_C,10776.30329
2012,1,4,17,30,9.7,14,74.94,1.3,5.5,NORTH_C,10822.95125
2012,1,4,18,30,8.2,0,76.51,1.5,4.3,NORTH_C,11523.45084
2012,1,4,19,30,7.4,0,78.68,1.5,3.9,NORTH_C,12546.06454
2012,1,4,20,30,6.7,0,80.93,1.5,3.7,NORTH_C,12692.73072
2012,1,4,21,30,6.1,0,82.85,1.4,3.4,NORTH_C,12699.10521
2012,1,4,22,30,5.5,0,84.86,1.3,3.2,NORTH_C,12448.50657
2012,1,4,23,30,4.9,0,87.35,1.3,3,NORTH_C,11779.19494
2012,1,5,0,30,4.3,0,90.9,1.3,2.9,NORTH_C,11040.8524
2012,1,5,1,30,3.8,0,94.16,1.3,2.9,NORTH_C,10728.40241
2012,1,5,2,30,3.3,0,97.81,1.3,3,NORTH_C,10653.83993
2012,1,5,3,30,3,0,99.92,1.2,3,NORTH_C,10725.79259
2012,1,5,4,30,2.9,0,100,1.2,2.9,NORTH_C,10972.31119
2012,1,5,5,30,3,0,99.27,1.2,2.9,NORTH_C,11554.35428
2012,1,5,6,30,3.2,0,97.29,1.1,2.8,NORTH_C,12776.79325
2012,1,5,7,30,4.7,0,86.85,1.1,2.7,NORTH_C,14591.29402
2012,1,5,8,30,7.4,156,76.43,1.4,3.5,NORTH_C,15225.01387
2012,1,5,9,30,10.4,339,62.43,1.4,3.5,NORTH_C,14379.97311
2012,1,5,10,30,14.1,492,52.64,1.6,4.6,NORTH_C,13449.80449
2012,1,5,11,30,16.7,589,42.84,2.2,4,NORTH_C,12667.49919
2012,1,5,12,30,18,627,40.33,2.4,4.3,NORTH_C,12010.01449
2012,1,5,13,30,18.7,592,40.03,2.5,4.8,NORTH_C,11466.20402
2012,1,5,14,30,18.9,495,41.12,2.1,5.4,NORTH_C,11078.47699
2012,1,5,15,30,18,348,46.13,1.2,6.2,NORTH_C,10724.44569
2012,1,5,16,30,16.3,169,68.01,0.7,10.4,NORTH_C,10509.40276
2012,1,5,17,30,14.6,13,58.95,0.9,6.7,NORTH_C,10467.62801
2012,1,5,18,30,12.9,0,64.99,1.2,6.5,NORTH_C,10958.63554
